Pais,Población
Argentina,44494502
Bolivia,11353142
Brasil,209469333
Chile,18729160
Colombia,49648685
Costa Rica,4999441
Cuba,11338138
Ecuador,17084357
El Salvador,6420744
Guatemala,17247807
Honduras,9587522
Mexico,126190788
Nicaragua,6465513
Panamá,4176873
Paraguay,6956071
Perú,31989256
República Dominicana,10627165
Uruguay,3449299
Venezuela,28870195
