geometry,ID,Country,X,Y,Casos,casos_10000hab,Orden
"{""type"":""Point"",""coordinates"":[105.70369996653596,-10.444116686358026]}",,Isla de Navidad,106,-10,,,
"{""type"":""Point"",""coordinates"":[-4.525850843706942,54.229079018224446]}",,Isla del hombre,-5,54,,,
"{""type"":""Point"",""coordinates"":[47.29094808154337,-11.566224871643454]}",,Isla Gloriosa,47,-12,,,
"{""type"":""Point"",""coordinates"":[-176.63741892797876,0.800097113487835]}",,Isla Howland,-177,1,,,
"{""type"":""Point"",""coordinates"":[-160.0272244541247,-0.386017020623878]}",,Isla Jarvis,-160,0,,,
"{""type"":""Point"",""coordinates"":[42.743747610896385,-17.06449193630805]}",,Isla Juan De Nova,43,-17,,,
"{""type"":""Point"",""coordinates"":[167.95259597483337,-29.03765444504631]}",,Isla Norfolk,168,-29,,,
"{""type"":""Point"",""coordinates"":[166.6380033974962,19.302045812215788]}",,Isla Wake,167,19,,,
"{""type"":""Point"",""coordinates"":[-64.7396070891239,32.31608775870933]}",,islas Bermudas,-65,32,,,
"{""type"":""Point"",""coordinates"":[96.83688767322998,-12.171249450199548]}",,Islas Cocos,97,-12,,,
"{""type"":""Point"",""coordinates"":[-158.9089139635618,-20.9339945266236]}",,Islas Cook,-159,-21,,,
"{""type"":""Point"",""coordinates"":[73.4983722774534,-53.091332172224426]}",,Islas Heard y McDonald,73,-53,,,
"{""type"":""Point"",""coordinates"":[-59.36329948178355,-51.73711668334442]}",,Islas Malvinas,-59,-52,,,
"{""type"":""Point"",""coordinates"":[145.67921765221197,15.088518440257129]}",,Islas Marianas del Norte,146,15,,,
"{""type"":""Point"",""coordinates"":[168.62676302257543,7.643561188247513]}",,Islas Marshall,169,8,,,
"{""type"":""Point"",""coordinates"":[-177.37881580897016,28.205197049456785]}",,Islas Midway,-177,28,,,
"{""type"":""Point"",""coordinates"":[159.63432097177957,-8.918219539058242]}",,Islas Salomón,160,-9,,,
"{""type"":""Point"",""coordinates"":[-71.81295805220792,21.836687514200527]}",,Islas Turcas y Caicos,-72,22,,,
"{""type"":""Point"",""coordinates"":[-64.53042391489198,18.444588946551615]}",,Islas Vírgenes Británicas,-65,18,,,
"{""type"":""Point"",""coordinates"":[-64.80702977371502,17.905101863566706]}",,Islas Vírgenes de EE.UU,-65,18,,,
"{""type"":""Point"",""coordinates"":[-8.403526802140663,71.02084901885439]}",,Jan Mayen,-8,71,,,
"{""type"":""Point"",""coordinates"":[51.19120124172883,25.31507883339837]}",,Katar,51,25,,,
"{""type"":""Point"",""coordinates"":[-154.45972898233174,1.834565954136943]}",,Kiribati,-154,2,,,
"{""type"":""Point"",""coordinates"":[103.7632905048412,18.50274343130718]}",,Laos,104,19,,,
"{""type"":""Point"",""coordinates"":[159.40422321609728,6.492378894317302]}",,Micronesia,159,6,,,
Point,,Mongolia Interior,114,43,,,
"{""type"":""Point"",""coordinates"":[-62.1869328125626,16.735363391460307]}",,Montserrat,-62,17,,,
"{""type"":""Point"",""coordinates"":[166.9293763313916,-0.522102144067004]}",,Nauru,167,-1,,,
"{""type"":""Point"",""coordinates"":[-169.86878106699078,-19.05230921680396]}",,Niue,-170,-19,,,
"{""type"":""Point"",""coordinates"":[165.71549114921729,-21.3163373212331]}",,Nueva Caledonia,166,-21,,,
"{""type"":""Point"",""coordinates"":[134.5686859384122,7.501880160311084]}",,Palau,135,8,,,
"{""type"":""Point"",""coordinates"":[-128.59314729195663,-24.4764970581444]}",,Pitcairn,-129,-24,,,
"{""type"":""Point"",""coordinates"":[-63.237536156669684,17.632230448731757]}",,Saba,-63,18,,,
"{""type"":""Point"",""coordinates"":[-172.15945946451123,-13.758366525681101]}",,Samoa,-172,-14,,,
"{""type"":""Point"",""coordinates"":[-170.70783431821974,-14.304404695726642]}",,Samoa Americana,-171,-14,,,
"{""type"":""Point"",""coordinates"":[-62.97813782987903,17.490904959080392]}",,San Eustaquio,-63,17,,,
"{""type"":""Point"",""coordinates"":[-56.306102954609045,46.930918487850114]}",,San Pedro y Miquelón,-56,47,,,
"{""type"":""Point"",""coordinates"":[-5.717151682846866,-15.961546246342857]}",,Santa helena,-6,-16,,,
"{""type"":""Point"",""coordinates"":[-63.06328420045753,18.037944528043333]}",,Sint Maarten,-63,18,,,
"{""type"":""Point"",""coordinates"":[18.483538994918053,78.86365722121603]}",,Svalbard,18,79,,,
"{""type"":""Point"",""coordinates"":[72.43403010594578,-7.334268058784693]}",,Territorio Británico del Océano Índico,72,-7,,,
"{""type"":""Point"",""coordinates"":[68.86192919930987,-49.19179589704905]}",,Territorios Franceses del Sur,69,-49,,,
"{""type"":""Point"",""coordinates"":[-171.8526595072274,-9.19517476725658]}",,Tokelau,-172,-9,,,
"{""type"":""Point"",""coordinates"":[-174.83627435986722,-20.402894983301433]}",,Tonga,-175,-20,,,
"{""type"":""Point"",""coordinates"":[58.391314432352374,39.21879286956124]}",,Turkmenistán,58,39,,,
"{""type"":""Point"",""coordinates"":[178.55740038159198,-7.827668713305891]}",,Tuvalu,179,-8,,,
"{""type"":""Point"",""coordinates"":[167.71814754634667,-16.255048823448007]}",,Vanuatu,168,-16,,,
"{""type"":""Point"",""coordinates"":[-177.15079049184754,-13.787433833606013]}",,Wallis y Futuna,-177,-14,,,
