geometry,ID,Country,X,Y,Casos,casos_10000hab,Orden
"{""type"":""Point"",""coordinates"":[19.491652336312193,48.70753052717823]}",,Eslovaquia,19,49,1664,"27,5",55
"{""type"":""Point"",""coordinates"":[14.82653834839255,46.12356416278378]}",,Eslovenia,15,46,1581,70,56
"{""type"":""Point"",""coordinates"":[-3.649565834524505,40.226828676156785]}",,España,-4,40,248770,"494,8",57
"{""type"":""Point"",""coordinates"":[-112.49150994118335,45.69557676132574]}",,Estados Unidos,-112,46,2548996,"478,4",58
"{""type"":""Point"",""coordinates"":[25.527616443770203,58.67413628429917]}",,Estonia,26,59,1987,"135,4",59
"{""type"":""Point"",""coordinates"":[39.616032137115766,8.626219231457794]}",,Etiopía,40,9,5689,"0,4",60
"{""type"":""Point"",""coordinates"":[171.98364164283774,-17.4535324088704]}",,Fiyi,172,-17,18,2,61
"{""type"":""Point"",""coordinates"":[122.87870846243109,11.741833313664868]}",,Filipinas,123,12,35455,"12,4",62
"{""type"":""Point"",""coordinates"":[26.26637119233816,64.50042279491441]}",,Finlandia,26,65,7198,"117,4",63
"{""type"":""Point"",""coordinates"":[2.551954971597383,46.56450256082858]}",,Francia,3,47,199476,"271,3",64
"{""type"":""Point"",""coordinates"":[11.797236984883265,-0.590944936977659]}",,Gabón,12,-1,5209,"72,1",65
"{""type"":""Point"",""coordinates"":[-15.386640805698423,13.452650455474767]}",,Gambia,-15,13,45,1,66
"{""type"":""Point"",""coordinates"":[43.517447639862766,42.17631150977834]}",,Georgia,44,42,926,"19,5",67
"{""type"":""Point"",""coordinates"":[-1.207301222883145,7.959847930457783]}",,Ghana,-1,8,16742,"21,4",68
"{""type"":""Point"",""coordinates"":[-61.679379372041026,12.112926656338846]}",,Granada,-62,12,23,"19,6",69
"{""type"":""Point"",""coordinates"":[22.959744477365827,39.06853888089207]}",,Grecia,23,39,3376,"26,6",70
"{""type"":""Point"",""coordinates"":[-90.35624300984739,15.702133356339797]}",,Guatemala,-90,16,16930,"15,1",71
"{""type"":""Point"",""coordinates"":[-10.941772799241198,10.438211991957056]}",,Guinea,-11,10,5342,"25,1",72
"{""type"":""Point"",""coordinates"":[10.341983767820691,1.712337086028005]}",,Guinea Ecuatorial,10,2,2001,"62,1",73
"{""type"":""Point"",""coordinates"":[-14.965216953847321,12.030308520950483]}",,Guinea-Bissau,-15,12,1614,"69,1",74
"{""type"":""Point"",""coordinates"":[-58.974781149673824,4.7920168232279]}",,Guayana,-59,5,230,"16,2",75
"{""type"":""Point"",""coordinates"":[-72.67946007128391,18.941608633971537]}",,Haití,-73,19,5847,"6,3",76
"{""type"":""Point"",""coordinates"":[-86.61914459579094,14.819221712935484]}",,Honduras,-87,15,18082,35,77
"{""type"":""Point"",""coordinates"":[19.41344923357669,47.16650236034846]}",,Hungría,19,47,4142,"37,6",78
"{""type"":""Point"",""coordinates"":[79.61620147940167,22.883477889666047]}",,India,80,23,548318,"8,7",79
"{""type"":""Point"",""coordinates"":[117.30042608536101,-2.230213581176717]}",,Indonesia,117,-2,54010,"7,6",80
"{""type"":""Point"",""coordinates"":[43.77213471731294,33.048025205277185]}",,Irak,44,33,45402,"9,7",81
Point,,Irán,"54,309018","32,355343",222669,155,82
"{""type"":""Point"",""coordinates"":[-8.150580864364253,53.17637969152576]}",,Irlanda,-8,53,25439,"495,6",83
"{""type"":""Point"",""coordinates"":[-18.605467118283716,64.99758853817899]}",,Islandia,-19,65,1838,"492,4",84
